"","movie_index","original_title","moviesynthesis","neigbhoors"
0,0,"Avatar","{'movie_id':'19995','original_title':'Avatar','overview':'In the 22nd century; a paraplegic Marine is dispatched to the moon Pandora on a unique mission; but becomes torn between following orders and protecting an alien civilization.','tagline':'Enter the World of Pandora.','main_category':'Adventure','homepage':'http://www.avatarmovie.com/'}","{'neighb1':'85','neighb2':'266','neighb3':'301','neighb4':'224','neighb5':'275'}"
1,1,"Pirates of the Caribbean; At World°s End","{'movie_id':'285','original_title':'Pirates of the Caribbean; At World°s End','overview':'Captain Barbossa; long believed to be dead; has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.','tagline':'At the end of the world; the adventure begins.','main_category':'Fantasy','homepage':'http://disney.go.com/disneypictures/pirates/'}","{'neighb1':'17','neighb2':'12','neighb3':'98','neighb4':'199','neighb5':'262'}"
2,2,"Spectre","{'movie_id':'206647','original_title':'Spectre','overview':'A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive; Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.','tagline':'A Plan No One Escapes','main_category':'Adventure','homepage':'http://www.sonypictures.com/movies/spectre/'}","{'neighb1':'5','neighb2':'53','neighb3':'115','neighb4':'159','neighb5':'216'}"
3,3,"The Dark Knight Rises","{'movie_id':'49026','original_title':'The Dark Knight Rises','overview':'Following the death of District Attorney Harvey Dent; Batman assumes responsibility for Dent°s crimes to protect the late attorney°s reputation and is subsequently hunted by the Gotham City Police Department. Eight years later; Batman encounters the mysterious Selina Kyle and the villainous Bane; a new terrorist leader who overwhelms Gotham°s finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.','tagline':'The Legend Ends','main_category':'Crime','homepage':'http://www.thedarkknightrises.com/'}","{'neighb1':'65','neighb2':'119','neighb3':'690','neighb4':'444','neighb5':'280'}"
4,4,"John Carter","{'movie_id':'49529','original_title':'John Carter','overview':'John Carter is a war-weary; former military captain who°s inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It°s a world on the brink of collapse; and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.','tagline':'Lost in our world; found in another.','main_category':'Adventure','homepage':'http://movies.disney.com/john-carter'}","{'neighb1':'47','neighb2':'507','neighb3':'342','neighb4':'150','neighb5':'18'}"
5,5,"Spider-Man 3","{'movie_id':'559','original_title':'Spider-Man 3','overview':'The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism; his alter ego; Peter Parker; deals with nemesis Eddie Brock and also gets caught up in a love triangle.','tagline':'The battle within.','main_category':'Action','homepage':'http://www.sonypictures.com/movies/spider-man3/'}","{'neighb1':'2','neighb2':'53','neighb3':'115','neighb4':'159','neighb5':'216'}"
6,6,"Tangled","{'movie_id':'38757','original_title':'Tangled','overview':'When the kingdom°s most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower; he°s taken hostage by Rapunzel; a beautiful and feisty tower-bound teen with 70 feet of magical; golden hair. Flynn°s curious captor; who°s looking for her ticket out of the tower where she°s been locked away for years; strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade; complete with a super-cop horse; an over-protective chameleon and a gruff gang of pub thugs.','tagline':'They°re taking adventure to new lengths.','main_category':'Family','homepage':'http://disney.go.com/disneypictures/tangled/'}","{'neighb1':'3448','neighb2':'364','neighb3':'107','neighb4':'80','neighb5':'143'}"
7,7,"Avengers; Age of Ultron","{'movie_id':'99861','original_title':'Avengers; Age of Ultron','overview':'When Tony Stark tries to jumpstart a dormant peacekeeping program; things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges; it is up to The Avengers to stop him from enacting his terrible plans; and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.','tagline':'A New Age Has Come.','main_category':'Adventure','homepage':'http://marvel.com/movies/movie/193/avengers_age_of_ultron'}","{'neighb1':'31','neighb2':'16','neighb3':'29','neighb4':'96','neighb5':'68'}"
8,8,"Harry Potter and the Half-Blood Prince","{'movie_id':'767','original_title':'Harry Potter and the Half-Blood Prince','overview':'As Harry begins his sixth year at Hogwarts; he discovers an old book marked as °Property of the Half-Blood Prince°; and begins to learn more about Lord Voldemort°s dark past.','tagline':'Dark Secrets Revealed','main_category':'Fantasy','homepage':'http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html'}","{'neighb1':'191','neighb2':'197','neighb3':'276','neighb4':'113','neighb5':'2294'}"
9,9,"Batman v Superman; Dawn of Justice","{'movie_id':'209112','original_title':'Batman v Superman; Dawn of Justice','overview':'Fearing the actions of a god-like Super Hero left unchecked; Gotham City’s own formidable; forceful vigilante takes on Metropolis’s most revered; modern-day savior; while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another; a new threat quickly arises; putting mankind in greater danger than it’s ever known before.','tagline':'Justice or revenge','main_category':'Adventure','homepage':'http://www.batmanvsupermandawnofjustice.com/'}","{'neighb1':'20','neighb2':'126','neighb3':'38','neighb4':'19','neighb5':'32'}"
